patient,feature,perm_mean,perm_std,perm_rank,gain_norm
Pt5,bandpower_80_125,0.008333333333333326,0.02246185983823001,8,0.00691203837979105
Pt5,bandpower_125_250,0.0,0.0,25,0.0052974001709758505
Pt5,bandpower_250_500,0.0,0.0,20,0.012000922364563267
Pt5,hf_lf_ratio,-0.009523809523809535,0.0116642368703961,33,0.003326247784526516
Pt5,veryhf_ratio,0.0,0.0,26,0.0051489160463489905
Pt5,teager_mean_abs,-0.023809523809523836,0.0,42,0.002148015336634687
Pt5,teager_std,-0.023809523809523836,0.0,43,0.006881141962239498
Pt6,mean,0.004161979752530876,0.007250591029577889,10,0.005706527261239168
Pt6,std,0.015696475440569957,0.004914836810475008,5,0.20349313865862184
Pt6,rms,-0.0011717285339332584,0.0022033980442077122,37,0.049121977508099136
Pt6,ptp,0.02085676790401201,0.006606936569189914,3,0.014241164595647997
Pt6,max_abs,0.009917510311211065,0.0017764208380565813,6,0.008513634801833703
Pt6,median_abs,-0.0017669666291713737,0.002895382698855418,40,0.010051884319628586
Pt6,abs_q75,0.006744469441319812,0.0019259396484828236,7,0.0021344955487254463
Pt6,abs_q90,-0.0005952380952381153,0.0011904761904762307,34,0.0043650397258213295
Pt6,abs_q95,0.0049775028121484596,0.0040056146186467825,9,0.06080550310607284
Pt6,abs_q99,0.06743532058492685,0.008675459074483114,1,0.44852206766477865
Pt6,mad,0.0,0.0,30,6.720688922084524e-05
Pt6,skew,-0.0005858642669666292,0.0013440906133434466,33,0.0029564224287946016
Pt6,kurtosis,-0.0009889388826396894,0.0016553766702636756,36,0.003745326131954757
Pt6,line_length,0.005155605549306319,0.0028352150473765704,8,0.0032175766049165424
Pt6,mean_abs_diff,0.0033698912635920395,0.0019430862989655558,11,0.0013717660261203422
Pt6,std_diff,0.0015888638920134924,0.0013461646394714718,16,0.0008056250504299137
Pt6,max_abs_diff,0.019056992875890556,0.003832606358331665,4,0.013062276867920023
Pt6,zero_cross_rate,-0.001584176977877827,0.003228926689157486,39,0.003069197390208307
Pt6,hjorth_mobility,0.0,0.0,28,0.00016571670118125908
Pt6,hjorth_complexity,0.0005952380952380931,0.001190476190476186,22,0.004268047279478927
Pt6,peaks_gt_0.1max,0.061651668541432295,0.010410641791514323,2,0.03541248959716695
Pt6,peaks_gt_0.2max,0.0,0.0,31,5.1392418081606524e-05
Pt6,peaks_gt_0.3max,0.0,0.0,32,3.3383159728572974e-05
Pt6,peaks_gt_0.5max,0.0,0.0,27,8.229399069550363e-05
Pt6,autocorr_1,0.0,0.0,29,0.0005491077028687242
Pt6,autocorr_5,0.0005952380952380931,0.001190476190476186,23,0.00142187968524724
Pt6,autocorr_10,0.0011904761904761641,0.002380952380952411,20,0.0025690067555042715
Pt6,autocorr_20,0.0009842519685039353,0.0008803417234251124,21,0.004051178253838826
Pt6,autocorr_50,0.0003890138732658199,0.0010102012552757002,25,0.004701948883782521
